Data transakcji,Miasto/Gmina,Obręb,Zbyte prawo,Pu lokalu [m2],Pow. przynależna [m2],Pom. przynależne,Cena 1m2 bez VAT [zł],Zakt.cena bez VAT [zł],Program użytkowy,Kondygnacja,Sprzedał,Kupił
2021-04-23,Gdynia, Dąbrowa,własność-własność,50.7,0.0,brak,8481.26,430000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-09-17,Gdynia, Karwiny,własność-własność,100.22,5.79,"KOMÓRKA LOKATORSKA, miejsce postojowe",8481.34,850000.0,"pokój:4,aneks kuchenny:1,łazienka:1,wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-03-22,Gdańsk, Zabornia,własność-własność,61.9,5.2,piwnica,8481.42,525000.0,"pokój:3,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-06-30,Gdańsk, Jasień,własność-własność,40.32,4.83,piwnica,8482.14,342000.0,pokój:2,2.0,osoba fizyczna,osoba fizyczna
2020-05-25,Gdańsk, Maćkowy,własność-własność,38.21,3.22,komórka lokatorska,8483.52,324155.37,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",1.0,"przeds., spółka, firma",osoba fizyczna
2020-09-10,Gdynia, Śródmieście z Portem,własność-własność,47.15,0.0,nie podano,8483.56,400000.0,ilość izb:4,3.0,osoba fizyczna,osoba fizyczna
2021-01-22,Gdańsk, Piecki Migowo,własność-własność,63.06,4.56,komórka lokatorska,8483.98,535000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",3.0,"przeds., spółka, firma",osoba fizyczna
2020-09-02,Gdańsk, Kiełpinek,własność-własność,44.2,3.2,komórka lokatorska,8484.16,375000.0,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-08-31,Sopot, Sopot,własność-własność,93.7,999.0,brak,8484.53,795000.0,"pokój:4,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2021-01-08,Gdańsk, Wrzeszcz,własność-własność,82.5,0.1,nie podano,8484.85,700000.0,"pokój:3,kuchnia:1,łazienka:1,przedpokój:1,spiżarka:1",7.0,osoba fizyczna,osoba fizyczna
2021-05-05,Gdańsk, Chełm,własność-własność,49.5,0.0,brak,8484.85,420000.0,"pokój:2,kuchnia:1,łazienka:1,wc:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-07-02,Gdańsk, Młyniska,spółdzielcze wł. prawo,41.6,1.0,brak,8485.58,353000.0,"pokój:2,kuchnia:1,łazienka z wc:1",2.0,osoba fizyczna,osoba fizyczna
2021-03-24,Gdynia, Chylonia,własność-własność,38.300000000000004,1.97,piwnica,8485.64,325000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2021-02-24,Gdynia, Leszczynki,własność-własność,44.78,0.1,piwnica,8485.93,380000.0,ilość izb:3,1.0,osoba fizyczna,osoba fizyczna
